researcher,name,impact,x,y,species,dens,year
Penon,Navarro,intermedio,-59.1725,-34.8277778,Aporrectodea caliginosa,"9,44444445",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Aporrectodea rosea,"9,44444445",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Aporrectodea trapezoides,"10,55555555",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Amynthas gracilis,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Amynthas morrisi,"0,55555555",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Dendrodrilus rubidus,"7,777777775",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Eukerria stagnalis,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Microscolex dubius,"55,55555555",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Microscolex phosphoreus,"78,33333333",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Microscolex spp,"4,44444445",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion tyrtaeum,"11,66666668",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion cyaneum,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion lacteum,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion sp,"4,44444445",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Juveniles,20,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Aporrectodea caliginosa,"1,666666675",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Aporrectodea rosea,"3,333333325",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Aporrectodea trapezoides,"12,22222223",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Amynthas gracilis,"0,55555555",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Amynthas morrisi,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Dendrodrilus rubidus,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Eukerria stagnalis,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Microscolex dubius,"91,66666668",2011
