species,year,x,y,dens
Aporrectodea caliginosa,2004,-59.183187673921,-34.8717931408732,46
Aporrectodea caliginosa,2006,-58.9914565315546,-34.6139964771567,186
Aporrectodea caliginosa,1990,-59.459843246696,-34.7240646079278,191
Aporrectodea caliginosa,1999,-58.7955778739538,-35.1404194542607,173
Aporrectodea caliginosa,2013,-59.7678497117029,-34.7401559024902,180
Aporrectodea caliginosa,1998,-58.9548673190882,-34.8366324897245,152
Aporrectodea caliginosa,2013,-59.013524353278,-34.7184035715239,166
Aporrectodea caliginosa,2004,-58.8039421284377,-34.730970557273,37
Aporrectodea caliginosa,1992,-58.8560318839182,-34.4694555714105,99
Aporrectodea caliginosa,1994,-59.5778111791588,-34.5108862948801,177
Aporrectodea caliginosa,1994,-59.768889837305,-35.2480803655336,56
Aporrectodea caliginosa,1989,-58.8285193151039,-34.9319395791768,77
Aporrectodea caliginosa,1998,-59.2166667552944,-35.1157048072348,193
Aporrectodea caliginosa,2012,-59.155558910471,-34.6784664378925,130
Aporrectodea caliginosa,1995,-59.3016891096973,-34.7791643257397,86
Aporrectodea caliginosa,2000,-59.5929302348918,-34.4468100517438,143
Aporrectodea caliginosa,2006,-59.1736503711014,-34.6843888651674,10
Aporrectodea caliginosa,1998,-59.3301287732266,-34.8325344492511,62
Aporrectodea caliginosa,2001,-58.8372308057785,-35.2372080398352,118
Aporrectodea caliginosa,2009,-59.2523622086925,-34.4998889935553,47
Aporrectodea caliginosa,1995,-59.5123168091177,-35.1231600304963,69
Aporrectodea caliginosa,2005,-58.8456305850348,-35.0048213865894,192
Aporrectodea caliginosa,1989,-59.2560400873704,-34.6740824724118,95
Aporrectodea caliginosa,2005,-59.1753623058233,-34.9701049103586,165
Aporrectodea caliginosa,1989,-58.8391171192738,-34.6000866465798,186
Aporrectodea caliginosa,1991,-59.7447198100426,-34.7799521757276,89
Aporrectodea caliginosa,2009,-59.4495973260737,-34.6791914695735,77
Aporrectodea caliginosa,2004,-59.737972174047,-34.8526156135824,54
Aporrectodea caliginosa,2005,-59.0741137639332,-35.0583544714199,20
Aporrectodea caliginosa,2001,-59.4236212416588,-35.1371067503215,167
Aporrectodea caliginosa,2013,-59.1831275707365,-34.6799644181693,162
Aporrectodea caliginosa,1995,-59.7537092683263,-34.5047141720747,122
Aporrectodea caliginosa,1992,-58.8616577422763,-34.8994481647344,79
Aporrectodea caliginosa,2005,-58.8179907432291,-34.5323167791609,28
Aporrectodea caliginosa,2006,-58.8560131444741,-34.5377549724892,21
Aporrectodea caliginosa,1989,-59.5704884730019,-35.2425286898949,97
Aporrectodea caliginosa,2003,-58.9034593188941,-34.9190446789118,102
Aporrectodea caliginosa,2005,-59.0739310295127,-34.7345891821982,197
Aporrectodea caliginosa,1991,-58.978248112262,-34.6515759689807,98
Aporrectodea caliginosa,2013,-59.4760755191205,-35.2412739521138,149
Aporrectodea caliginosa,2008,-59.4237728673064,-34.7894730052032,74
Aporrectodea caliginosa,1989,-59.4736574153289,-35.2368034074356,131
Aporrectodea caliginosa,1989,-59.594505370308,-34.4221667840456,189
Aporrectodea caliginosa,1998,-59.1332506596925,-34.6571130267102,105
Aporrectodea caliginosa,1989,-59.6350525268621,-34.840658612273,44
Aporrectodea caliginosa,1996,-59.5553304762034,-34.9893865990672,144
Aporrectodea caliginosa,1995,-59.0207863364566,-34.8942474113172,22
Aporrectodea caliginosa,1993,-59.3204484729207,-34.4101989731024,186
Aporrectodea caliginosa,1999,-59.5442864914414,-34.564589636408,4
Aporrectodea caliginosa,2011,-59.8186611630227,-35.0338460007431,113
Aporrectodea caliginosa,2004,-58.8653830550199,-34.7395263074788,111
Aporrectodea caliginosa,2013,-58.9945512255228,-34.7262799788163,116
Aporrectodea caliginosa,1990,-59.7585697886261,-34.401275277518,55
Aporrectodea caliginosa,2007,-58.9810174069908,-35.0813981663987,132
Aporrectodea caliginosa,1996,-58.8806939604025,-34.5872082470853,190
Aporrectodea caliginosa,1993,-59.4221354965667,-35.1135582142778,49
Aporrectodea caliginosa,1994,-59.0681276110982,-35.1896002357506,25
Aporrectodea caliginosa,1992,-59.7640674970274,-34.8352402599095,23
Aporrectodea caliginosa,2000,-59.2842070441092,-34.6827476867253,36
Aporrectodea caliginosa,1992,-58.8796260819243,-34.4949686093673,97
Aporrectodea caliginosa,2004,-59.552110578551,-34.7907056296987,180
Aporrectodea caliginosa,2007,-58.8603923015745,-34.9873054037262,129
Aporrectodea caliginosa,1991,-59.0205676486442,-34.7536554241203,85
Aporrectodea caliginosa,2007,-59.5774695050381,-34.8135019875867,2
Aporrectodea caliginosa,2012,-59.7717987307614,-35.1511905757603,36
Aporrectodea caliginosa,2007,-59.7111989991409,-34.8734031266747,83
Aporrectodea caliginosa,1995,-59.38976406811,-34.6903149254406,18
Aporrectodea caliginosa,2007,-59.4998010488534,-34.998844804358,151
Aporrectodea caliginosa,2008,-59.5703656971069,-34.4106390747017,138
Aporrectodea caliginosa,2000,-59.0733786993265,-34.5455579449498,47
Aporrectodea caliginosa,2005,-59.0938113304253,-34.5051155289198,41
Aporrectodea caliginosa,1994,-59.6508550172911,-35.1555722385252,182
Aporrectodea caliginosa,2007,-59.1565284192879,-34.8079469079245,165
Aporrectodea caliginosa,1991,-59.4126337117005,-35.0075936951583,172
