species,year,x,y,dens
Aporrectodea caliginosa,1988,-34.57975,-59.08402,81
Aporrectodea caliginosa,1988,-34.58461,-59.07087,69
Aporrectodea caliginosa,1988,-34.58129,-59.09912,106
Aporrectodea caliginosa,1988,-34.58367,-59.08177,75
Aporrectodea caliginosa,1988,-34.58021,-59.08151,50
Aporrectodea caliginosa,1988,-34.58791,-59.06864,263
Aporrectodea caliginosa,1988,-34.58756,-59.06323,25
Aporrectodea caliginosa,2011,-34.59444,-59.07472,13
Aporrectodea caliginosa,2011,-34.59444,-59.07472,33
Aporrectodea caliginosa,2012,-34.59444,-59.07472,11
Aporrectodea caliginosa,2012,-34.59444,-59.07472,2
Aporrectodea caliginosa,2013,-34.59444,-59.07472,15
Aporrectodea caliginosa,2013,-34.59444,-59.07472,8
Aporrectodea caliginosa,2013,-34.59444,-59.07472,13
Aporrectodea caliginosa,2013,-34.59444,-59.07472,4
Aporrectodea caliginosa,2010,-34.82778,-59.1725,4
Aporrectodea caliginosa,2010,-34.82778,-59.1725,17
Aporrectodea caliginosa,2010,-34.82778,-59.1725,15
Aporrectodea caliginosa,2011,-34.82778,-59.1725,2
Aporrectodea caliginosa,2011,-34.82778,-59.1725,4
Aporrectodea caliginosa,2011,-34.82778,-59.1725,11
Aporrectodea caliginosa,2012,-34.82778,-59.1725,15
Aporrectodea caliginosa,2012,-34.82778,-59.1725,13
Aporrectodea caliginosa,2013,-34.82778,-59.1725,2
Aporrectodea caliginosa,2013,-34.82778,-59.1725,2
Aporrectodea caliginosa,2013,-34.82778,-59.1725,8
Aporrectodea caliginosa,2010,-34.61667,-59.22944,7
Aporrectodea caliginosa,2011,-34.61667,-59.22944,4
Aporrectodea caliginosa,2011,-34.61667,-59.22944,9
Aporrectodea caliginosa,2011,-34.61667,-59.22944,4
Aporrectodea caliginosa,2013,-34.61667,-59.22944,7
